date,experiment,round,assay,condition,control,plate,row,col,strain,set,trait,phenotype
20140630,RIAILs,2,a,zinc,1percwater,18,B,1,QX418,2,median.norm.EXT,-0.11052124185460126
20140701,RIAILs,2,b,zinc,1percwater,18,B,1,QX482,2,median.norm.EXT,0.012103659799095322
20140707,RIAILs,2,c,zinc,1percwater,18,B,1,QX426,2,median.norm.EXT,0.030538325658203982
20140708,RIAILs,2,d,zinc,1percwater,18,B,1,QX359,2,median.norm.EXT,-0.1287733819195067
20140714,RIAILs,2,e,zinc,1percwater,18,B,1,QX352,2,median.norm.EXT,-0.11491826852384976
20140715,RIAILs,2,f,zinc,1percwater,18,B,1,QX108,1,median.norm.EXT,-0.2612335301942723
20140721,RIAILs,2,g,zinc,1percwater,18,B,1,QX278,2,median.norm.EXT,0.08845146484988295
20140722,RIAILs,2,h,zinc,1percwater,18,B,1,QX132,1,median.norm.EXT,-0.21607809662810343
20140630,RIAILs,2,a,zinc,1percwater,18,B,1,QX418,2,median.TOF,4.314081313936599
20140701,RIAILs,2,b,zinc,1percwater,18,B,1,QX482,2,median.TOF,34.78898197228115
20140707,RIAILs,2,c,zinc,1percwater,18,B,1,QX426,2,median.TOF,10.791102664222588
20140708,RIAILs,2,d,zinc,1percwater,18,B,1,QX359,2,median.TOF,-13.669066579644783
20140714,RIAILs,2,e,zinc,1percwater,18,B,1,QX352,2,median.TOF,-24.751480402915615
20140715,RIAILs,2,f,zinc,1percwater,18,B,1,QX108,1,median.TOF,-14.016618087834512
20140721,RIAILs,2,g,zinc,1percwater,18,B,1,QX278,2,median.TOF,17.335137270377633
20140722,RIAILs,2,h,zinc,1percwater,18,B,1,QX132,1,median.TOF,-13.924634488556732
20140630,RIAILs,2,a,zinc,1percwater,18,B,1,QX418,2,norm.n,20.568582021888332
20140701,RIAILs,2,b,zinc,1percwater,18,B,1,QX482,2,norm.n,-10.788012274543608
20140707,RIAILs,2,c,zinc,1percwater,18,B,1,QX426,2,norm.n,-3.1446085502550996
20140708,RIAILs,2,d,zinc,1percwater,18,B,1,QX359,2,norm.n,14.935907820128657
20140714,RIAILs,2,e,zinc,1percwater,18,B,1,QX352,2,norm.n,-34.779874079071234
20140715,RIAILs,2,f,zinc,1percwater,18,B,1,QX108,1,norm.n,-27.007321943517017
20140721,RIAILs,2,g,zinc,1percwater,18,B,1,QX278,2,norm.n,12.97542554886616
20140722,RIAILs,2,h,zinc,1percwater,18,B,1,QX132,1,norm.n,10.722775127294543
20140630,RIAILs,2,a,zinc,1percwater,18,B,3,QX553,2,median.EXT,11.338714788587774
20140701,RIAILs,2,b,zinc,1percwater,18,B,3,QX158,1,median.EXT,28.61142111577113
