date,experiment,round,assay,plate,condition,control,strain,row,col,trait,phenotype,dose
NA,NA,NA,NA,22,zinc,water,DL238,C,5,norm.n,42.333333333333336,1000
NA,NA,NA,NA,22,zinc,NA,N2,C,7,norm.n,123,0
NA,NA,NA,NA,22,zinc,water,N2,C,8,norm.n,111,250
NA,NA,NA,NA,22,zinc,water,N2,C,9,norm.n,94,500
NA,NA,NA,NA,22,zinc,NA,JU258,D,1,norm.n,101.66666666666667,0
NA,NA,NA,NA,22,zinc,water,CB4856,D,10,norm.n,56.666666666666664,750
NA,NA,NA,NA,22,zinc,water,CB4856,D,11,norm.n,44.333333333333336,1000
NA,NA,NA,NA,22,zinc,water,JU258,D,2,norm.n,62,250
NA,NA,NA,NA,22,zinc,water,JU258,D,3,norm.n,70.33333333333333,500
NA,NA,NA,NA,22,zinc,water,JU258,D,4,norm.n,68.66666666666667,750
NA,NA,NA,NA,22,zinc,water,JU258,D,5,norm.n,26.666666666666668,1000
NA,NA,NA,NA,22,zinc,NA,CB4856,D,7,norm.n,119,0
NA,NA,NA,NA,22,zinc,water,CB4856,D,8,norm.n,123.33333333333333,250
NA,NA,NA,NA,22,zinc,water,CB4856,D,9,norm.n,82,500
NA,NA,NA,NA,22,zinc,NA,JU258,E,1,norm.n,94.66666666666667,0
NA,NA,NA,NA,22,zinc,water,DL238,E,10,norm.n,73,750
NA,NA,NA,NA,22,zinc,water,DL238,E,11,norm.n,71,1000
NA,NA,NA,NA,22,zinc,water,JU258,E,2,norm.n,93,250
NA,NA,NA,NA,22,zinc,water,JU258,E,3,norm.n,54,500
NA,NA,NA,NA,22,zinc,water,JU258,E,4,norm.n,58.333333333333336,750
NA,NA,NA,NA,22,zinc,water,JU258,E,5,norm.n,33,1000
NA,NA,NA,NA,22,zinc,NA,DL238,E,7,norm.n,105.33333333333333,0
NA,NA,NA,NA,22,zinc,water,DL238,E,8,norm.n,96,250
NA,NA,NA,NA,22,zinc,water,DL238,E,9,norm.n,89.66666666666667,500
NA,NA,NA,NA,22,zinc,NA,CB4856,F,1,norm.n,122,0
NA,NA,NA,NA,22,zinc,water,N2,F,10,norm.n,60,750
NA,NA,NA,NA,22,zinc,water,N2,F,11,norm.n,40,1000
NA,NA,NA,NA,22,zinc,water,CB4856,F,2,norm.n,141.66666666666666,250
NA,NA,NA,NA,22,zinc,water,CB4856,F,3,norm.n,83.33333333333333,500
NA,NA,NA,NA,22,zinc,water,CB4856,F,4,norm.n,80,750
NA,NA,NA,NA,22,zinc,water,CB4856,F,5,norm.n,27.666666666666668,1000
